path,title,type,audience,disposition,reason
"docs/AUTHORS.md","Authors","unspecified","unspecified","DELETE","redundant root narrative or metadata duplication"
"docs/CONTRACT.md","Docs Contract","unspecified","unspecified","MERGE","consolidate into canonical section pages"
"docs/OWNERS.md","Docs Owners","unspecified","unspecified","MERGE","consolidate into canonical section pages"
"docs/PROJECT_DESCRIPTION_SNIPPET.md","Project Description Snippet","unspecified","unspecified","DELETE","redundant root narrative or metadata duplication"
"docs/PROJECT_IDENTITY.md","Project Identity","unspecified","unspecified","DELETE","redundant root narrative or metadata duplication"
"docs/_assets/INDEX.md","Assets Index","unspecified","unspecified","MERGE","replace uppercase index with lowercase index.md where retained"
"docs/_assets/README.md","Assets Policy","policy  ","unspecified","MERGE","consolidate into canonical section pages"
"docs/_assets/diagrams/INDEX.md","Diagrams","unspecified","unspecified","MERGE","replace uppercase index with lowercase index.md where retained"
"docs/_drafts/INDEX.md","Drafts Index","unspecified","unspecified","DRAFT","quarantined content with expiry"
"docs/_drafts/README.md","Draft Quarantine Policy","policy  ","unspecified","DRAFT","quarantined content with expiry"
"docs/_drafts/transcripts-canonical-policy.md","Canonical Transcript Policy (v2 Placeholder)","unspecified","unspecified","DRAFT","quarantined content with expiry"
"docs/_generated/concept-registry.md","Concept Registry","unspecified","unspecified","KEEP","generated output surface"
"docs/_generated/crate-doc-api-table.md","Crate Public API Table","unspecified","unspecified","KEEP","generated output surface"
"docs/_generated/crate-doc-governance.md","Crate Docs Governance","unspecified","unspecified","KEEP","generated output surface"
"docs/_generated/docs-inventory.md","Docs Inventory","unspecified","unspecified","KEEP","generated output surface"
"docs/_generated/make-targets.md","Generated Make Targets","unspecified","unspecified","KEEP","generated output surface"
"docs/_generated/topic-index.md","Topic Index","unspecified","unspecified","KEEP","generated output surface"
"docs/_lint/INDEX.md","_Lint Index","unspecified","unspecified","MERGE","replace uppercase index with lowercase index.md where retained"
"docs/_lint/duplicate-topics.md","Duplicate Topics Checklist","unspecified","unspecified","MERGE","consolidate into canonical section pages"
"docs/_lint/observability-docs.md","Observability Docs Checklist","unspecified","unspecified","MERGE","consolidate into canonical section pages"
"docs/_lint/renames.md","Rename Ledger","unspecified","unspecified","MERGE","consolidate into canonical section pages"
"docs/_nav/INDEX.md","Legacy Navigation Freeze","policy  ","unspecified","DELETE","legacy navigation system frozen and replaced"
"docs/_style/CONCEPT_REGISTRY.md","Concept Registry","unspecified","unspecified","MERGE","policy content to consolidate under governance"
"docs/_style/DEPTH_POLICY.md","Depth Policy","unspecified","unspecified","MERGE","policy content to consolidate under governance"
"docs/_style/DEPTH_RUBRIC.md","Depth Rubric","unspecified","unspecified","MERGE","policy content to consolidate under governance"
"docs/_style/INDEX.md","_Style Index","unspecified","unspecified","MERGE","policy content to consolidate under governance"
"docs/_style/concept-ids.md","Canonical Concept IDs","unspecified","unspecified","MERGE","policy content to consolidate under governance"
"docs/_style/crate-docs-depth-rubric.md","Crate Docs Depth Rubric","unspecified","unspecified","MERGE","policy content to consolidate under governance"
"docs/_style/docs-removal-policy.md","Docs Removal Policy","unspecified","unspecified","MERGE","policy content to consolidate under governance"
